District,Latitude,Longitude,Month,Month1,Year,Monthly_cases,X21,X22,X23,X24,X25,X26,X27,X28,X29,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,,,,,,,,,,
Jhenaidah,24.68,88.25,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,101.4,485.51,1842573,18.2,73.69,1.2,4.04,99,162.146424,1209.28066,0.90 ,5.5,52,1956.105656,128.912253,1380.609064,,,,,,,,,,
Joypurhat,24.68,88.25,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,101.19,485.51,950440,18.2,73.69,1.2,4,99,83.63872,623.773772,0.90 ,5.5,52,960.2497231,63.28285736,677.739194,,,,,,,,,,
Khagrachhari,24.68,88.25,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,101.04,485.51,638967,18.2,73.69,1.2,4.64,99,56.229096,419.3540421,0.90 ,5.5,52,2855.544398,188.1875146,2015.428187,,,,,,,,,,
Khulna,22.515,91.7539,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,100.64,485.51,2407679,18.2,73.69,1.2,4.04,99,211.875752,1580.159728,0.90 ,5.5,52,3625.143171,238.9059978,2558.606946,,,,,,,,,,
Kishorganj,22.515,91.7539,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,100.51,485.51,3028706,18.2,73.69,1.2,4.04,99,266.526128,1987.739748,0.90 ,5.5,52,2564.920364,169.0346642,1810.307276,,,,,,,,,,
Kurigram,22.515,91.7539,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.11,485.51,2150974,18.2,73.69,1.2,4.1,99,189.285712,1411.684236,0.90 ,5.5,52,2275.723926,149.975896,1606.193954,,,,,,,,,,
Kushtia,23.6161,88.8263,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,100.18,485.51,2023657,18.2,73.69,1.2,4.04,99,178.081816,1328.126089,0.90 ,5.5,52,1614.728397,106.4146382,1139.666793,,,,,,,,,,
Lakshmipur,23.6161,88.8263,January,1,2022,1,22.42,14.15,30.56,77.19,0.09,100.11,485.51,1797761,18.2,73.69,1.2,4.64,99,158.202968,1179.870544,0.90 ,5.5,52,1243.732495,81.96508074,877.8198407,,,,,,,,,,
Lalmonirhat,23.6161,88.8263,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.36,485.51,1305248,18.2,73.69,1.2,4.1,99,114.861824,856.6342624,0.90 ,5.5,52,1274.913778,84.02000521,899.8274255,,,,,,,,,,
Madaripur,21.5641,92.0208,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,100.93,485.51,1212199,18.2,73.69,1.2,4.04,99,106.673512,795.5662037,0.90 ,5.5,52,1135.273595,74.81736807,801.2701204,,,,,,,,,,
