District,Latitude,Longitude,Year,Yearly_cases,DENV1 ,DENV2,DENV3,DENV4,X11,X12,X13,X14,X15,X16,X17,X18,X19,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,,,,,,,,
Gopalganj,23.0488,89.8879,2017,2,0.96,1.52,0,0,25.31,6.05,36.62,80.44,4419.14,0.1,293.75,1218319,23.1,72.9,1.1,3.87,88,103.557115,653.2626478,0.85,3,48,1475.924938,97.26714322,1041.700043,,,,,,,,
Habiganj,24.4771,91.4507,2017,1,0.48,0.76,0,0,25.21,7.99,33.72,81.06,6164.65,0.02,293.75,2171065,23.1,72.9,1.1,4.94,88,184.540525,1164.125053,0.85,3,48,2582.433721,170.1888383,1822.668111,,,,,,,,
Jamalpur,25.0831,89.7853,2017,0,0,0,0,0,25.27,7.09,35.53,78.44,3902.34,0.06,293.75,2384811,23.1,72.9,1.1,3.85,88,202.708935,1278.735658,0.85,3,48,2065.6763,136.1332323,1457.943446,,,,,,,,
Jashore,23.1634,89.2182,2017,1,0.48,0.76,0,0,25.55,5.42,39.69,77.88,3448.83,0.01,293.75,2876380,23.1,72.9,1.1,3.74,88,244.4923,1542.314956,0.85,3,48,2584.932745,170.3535302,1824.431909,,,,,,,,
Jhalokathi,22.5721,90.187,2017,0,0,0,0,0,25.34,6.4,36.1,81.19,5046.68,0.04,293.75,709914,23.1,72.9,1.1,4.17,88,60.34269,380.6558868,0.85,3,48,738.7519126,48.68559791,521.4072067,,,,,,,,
Jhenaidah,23.545,89.1726,2017,1,0.48,0.76,0,0,25.55,5.72,39.94,77.25,3174.61,0.05,293.75,1842573,23.1,72.9,1.1,3.74,88,156.618705,987.9876426,0.85,3,48,1956.105656,128.912253,1380.609064,,,,,,,,
Joypurhat,25.0947,89.0945,2017,1,0.48,0.76,0,0,25.42,5.29,38.23,76.88,2710.55,0.02,293.75,950440,23.1,72.9,1.1,3.76,88,80.7874,509.625928,0.85,3,48,960.2497231,63.28285736,677.739194,,,,,,,,
Khagrachhari,23.1322,91.949,2017,0,0,0,0,0,24.62,7.1,36.63,84.19,6681.45,0.03,293.75,638967,23.1,72.9,1.1,4.47,88,54.312195,342.6141054,0.85,3,48,2855.544398,188.1875146,2015.428187,,,,,,,,
Khulna,22.6738,89.3967,2017,1,0.48,0.76,0,0,25.68,6.23,38.72,78.31,3796.88,0.05,293.75,2407679,23.1,72.9,1.1,3.74,88,204.652715,1290.99748,0.85,3,48,3625.143171,238.9059978,2558.606946,,,,,,,,
Kishorganj,24.426,90.9821,2017,1,0.48,0.76,0,0,25.21,7.99,33.72,81.06,6164.65,0.02,293.75,3028706,23.1,72.9,1.1,3.87,88,257.44001,1623.992157,0.85,3,48,2564.920364,169.0346642,1810.307276,,,,,,,,
