d,Months,Months,Cases,Deaths,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,PS,WS50_MAX,Pd,GDP,GNI,PHR,ALR,UnE,EA,PG,FR,AGR,AL,,,,,,,,,,,,,,,
2001,7,Jul,152,0,27.95,25.16,31.65,90.75,10.55,99.96,10.12,999,53.99,440,47.5,47.5,3.6,35,1.9,14.73,72.24,63.79,,,,,,,,,,,,,,,
2001,8,Aug,310,6,28.26,25.51,32.56,90.06,6.34,100.08,11.53,999,53.99,440,47.5,47.5,3.6,35,1.9,14.73,72.24,63.79,,,,,,,,,,,,,,,
2001,9,Sep,655,11,27.87,24.04,32.89,86.81,5.94,100.46,8.85,999,53.99,440,47.5,47.5,3.6,35,1.9,14.73,72.24,63.79,,,,,,,,,,,,,,,
2001,10,Oct,611,7,26.63,20.93,31.11,86.25,6.52,100.83,6.65,999,53.99,440,47.5,47.5,3.6,35,1.9,14.73,72.24,63.79,,,,,,,,,,,,,,,
2001,11,Nov,514,14,22.91,13.87,29.98,80.19,1.1,101.28,8.07,999,53.99,440,47.5,47.5,3.6,35,1.9,14.73,72.24,63.79,,,,,,,,,,,,,,,
2001,12,Dec,159,5,17.81,10.48,25.73,74,0.36,101.57,7.2,999,53.99,440,47.5,47.5,3.6,35,1.9,14.73,72.24,63.79,,,,,,,,,,,,,,,
2002,1,Jan,0,0,18.61,9.48,29.04,64.5,0.46,101.44,8.23,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,2,Feb,0,0,21.86,10.01,33.09,48.62,0.03,101.42,7.31,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,3,Mar,0,0,27.07,15.66,36.87,49.25,2.29,100.92,10.12,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,4,Apr,0,0,29.44,21.5,38.76,64.38,3.7,100.66,10.43,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,5,May,0,0,29.79,24.01,39.64,75.5,7.35,100.2,10.7,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,6,Jun,0,0,28.49,25.07,34.01,88.31,13.33,100.08,14.38,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,7,Jul,566,12,28.43,25.48,33.03,90.81,13.85,99.95,12.24,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,8,Aug,3281,28,27.63,24.75,31.8,90.81,8.24,100.13,10.73,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,9,Sep,1713,10,27.32,23.21,32.6,88.38,5.85,100.56,9.86,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,10,Oct,541,7,25.79,18.02,32.4,81.81,1.65,100.92,8.41,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,11,Nov,121,1,22.71,15.27,30.16,79.25,4.04,101.16,9.72,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2002,12,Dec,10,0,18.97,9.78,27.04,73.38,0.14,101.42,6.84,1018,54.72,440,46,49.6,3.9,37.9,1.8,14.70,71.85,63.40,,,,,,,,,,,,,,,
2003,1,Jan,0,0,16.51,7.81,27.15,64.56,0.62,101.57,8.04,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,2,Feb,0,0,21.78,12.43,32.34,58.69,0.93,101.32,8.2,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,3,Mar,0,0,25.32,13.48,35.9,57.69,3.64,101.03,9.21,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,4,Apr,2,0,29.73,21.54,37.96,66.88,3.59,100.68,11.54,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,5,May,1,0,30.76,23.94,40.1,67.12,3.98,100.32,11.26,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,6,Jun,0,0,28.71,25.44,39.07,86.19,16.89,99.9,15.29,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,7,Jul,4,0,28.38,25.88,33.04,89.62,6.01,100.15,10.84,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,8,Aug,4,0,28.51,25.48,33.31,88.44,5.84,100.15,9.95,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,9,Sep,3,0,27.80,25.08,32.04,88.75,6.16,100.42,11.95,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,10,Oct,0,0,26.68,21.28,32.26,84.94,4.87,100.93,8.95,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,11,Nov,372,8,21.83,13.59,29.37,78.12,0.08,101.3,6.07,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2003,12,Dec,100,2,18.91,10.3,27.47,76.69,1.28,101.51,8.35,1036,60.16,460,44.5,50.4,4.3,40.7,1.7,14.68,71.66,63.21,,,,,,,,,,,,,,,
2004,1,Jan,0,0,17.94,8.11,27.43,67.88,0.07,101.43,7.94,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,2,Feb,0,0,21.37,9.97,34.45,54.25,0.09,101.25,8.09,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,3,Mar,1,0,27.54,15.57,39.94,53.06,0.47,100.86,11.33,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,4,Apr,0,0,29.37,22.19,39.78,67.88,5.93,100.61,14.71,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,5,May,1,0,30.74,22.73,40.32,68.12,3.83,100.24,10.66,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,6,Jun,143,0,29.23,25.25,35.85,81.81,10.52,100.14,13.8,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,7,Jul,1209,4,27.98,24.65,33.33,89.5,11.09,100.13,11.07,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,8,Aug,1261,1,28.05,25.42,32.5,90.12,7.45,100.03,9.68,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,9,Sep,511,4,27.19,23.29,31.6,90.38,22.23,100.56,12.89,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,10,Oct,362,3,25.10,17.59,31.23,86.31,5.9,101.13,14.27,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,11,Nov,395,1,21.55,15.13,28.24,79.06,0.01,101.36,6.67,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2004,12,Dec,51,0,19.58,8.38,26.86,74.44,0.01,101.44,7.17,1052,65.11,510,43.2,51.6,4.3,40.6,1.6,14.65,71.62,62.56,,,,,,,,,,,,,,,
2005,1,Jan,1,0,17.87,9.62,29.01,69.75,0.2,101.41,8.52,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,2,Feb,0,0,23.08,9.29,34.53,56.38,0.16,101.23,9.71,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,3,Mar,0,0,27.69,17.8,38.23,59.19,4.28,100.97,12.4,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,4,Apr,0,0,29.15,19.7,38.12,64.38,2.93,100.83,9.58,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,5,May,0,0,29.69,22.9,39.12,73.19,6.06,100.39,9.72,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,6,Jun,2,0,30.08,25.23,37.3,78.88,4.71,99.9,12.03,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,7,Jul,3,0,28.36,24.46,32.83,88.38,12.15,100.09,10.26,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,8,Aug,174,0,28.48,25.51,33.47,88.88,11.11,100.01,9.89,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,9,Sep,337,1,27.87,24.54,33.13,88.38,10.67,100.46,11.44,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,10,Oct,325,1,26.08,19.23,31.73,86.12,9.46,100.97,10.77,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
