d,Months,Months,Cases,Deaths,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,PS,WS50_MAX,Pd,GDP,GNI,PHR,ALR,UnE,EA,PG,FR,AGR,AL,,,,,,,,,,,,,,,
2008,1,Jan,0,0,17.51,9.37,26.47,73.88,1.05,101.33,7.9,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,2,Feb,0,0,19.26,7.83,31.05,62.5,0.63,101.29,8.52,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,3,Mar,0,0,26.87,15.82,37.4,60.94,0.96,100.84,9.68,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,4,Apr,0,0,30.09,19.51,40.48,56.44,1.6,100.58,9.99,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,5,May,0,0,30.72,25.44,39.23,66.38,5.19,100.21,9.8,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,6,Jun,160,0,28.46,24.97,34.5,85.25,9.73,100.01,13.85,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,7,Jul,475,0,28.16,25.24,32.73,89.38,10.17,100,10.47,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,8,Aug,334,0,27.88,24.81,32.77,89.88,9.12,100.17,11.9,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,9,Sep,184,0,27.51,23.71,32.92,88.88,5.95,100.42,10.09,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,10,Oct,0,0,25.98,17.55,32.19,85.12,7.26,100.88,17.21,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,11,Nov,0,0,22.43,14.55,29.98,78.19,0.01,101.2,6.91,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2008,12,Dec,0,0,20.31,12.88,28.52,76.44,0.68,101.33,7.36,1109,91.63,660,36.3,56.9,4.6,54.7,1.1,14.56,71.08,59.94,,,,,,,,,,,,,,,
2009,1,Jan,0,0,19.51,10.14,29.26,67.94,0.03,101.44,7.84,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,2,Feb,0,0,22.13,11.62,34.58,54.19,0.69,101.08,8.54,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,3,Mar,0,0,27.27,14.26,38.01,48.56,1.22,100.86,9.46,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,4,Apr,0,0,30.61,22.54,40.65,60.94,1.48,100.54,10.7,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,5,May,1,0,29.86,24.5,40.03,73.31,7.98,100.32,19.84,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,6,Jun,0,0,29.03,25.24,35.01,85.44,9.21,100.01,9.49,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,7,Jul,4,0,28.53,25.48,33.8,88.81,15.46,99.91,11.87,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,8,Aug,127,0,28.33,24.51,34.01,88.81,13.69,100.26,9.99,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,9,Sep,188,0,27.74,23.96,33.12,89.25,7.07,100.42,12.74,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,10,Oct,154,0,25.63,17.74,31.87,85.62,4.42,100.82,10.96,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,11,Nov,0,0,22.69,13.07,30.31,80.06,0.87,101.2,7.74,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2009,12,Dec,0,0,18.48,9.55,27.44,75.44,0.04,101.43,7.94,1121,102.48,730,35.5,58.4,5,57.6,1.1,14.53,71.03,59.89,,,,,,,,,,,,,,,
2010,1,Jan,0,0,17.58,9.14,28.38,65.94,0,101.51,9.34,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,2,Feb,0,0,21.55,10.72,32.05,51.38,0.81,101.25,8.02,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,3,Mar,0,0,28.22,16.89,39.08,52.88,0.94,100.87,12.62,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,4,Apr,0,0,31.10,23.02,42,64.25,2.33,100.61,13.39,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,5,May,0,0,29.73,23.76,39.15,76.5,9.86,100.32,11.14,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,6,Jun,0,0,28.63,25.57,33.34,90,14.13,100.17,12.09,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
