Catagory,Code,Description,Data Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatio-temporal,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2017-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cases,Yearly_cases,Yearly district wizw dengue cases 2017-24,https://dghs.portal.gov.bd/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dengue Virus Serotype Distribution (DENV1–DENV4),DENV1 ,Distribution of DENV1 Serotypes in Bangladesh,https://dghs.portal.gov.bd/sites/default/files/files/dghs.portal.gov.bd/page/3967b2ff_3a40_405b_a5d7_c0cebec9d39b/2025-04-10-04-50-075778da5eee9f02a844453dccfe71ef.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DENV2,Distribution of DENV2 Serotypes in Bangladesh,https://dghs.portal.gov.bd/sites/default/files/files/dghs.portal.gov.bd/page/3967b2ff_3a40_405b_a5d7_c0cebec9d39b/2025-04-10-04-50-075778da5eee9f02a844453dccfe71ef.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DENV3,Distribution of DENV3Serotypes in Bangladesh,https://dghs.portal.gov.bd/sites/default/files/files/dghs.portal.gov.bd/page/3967b2ff_3a40_405b_a5d7_c0cebec9d39b/2025-04-10-04-50-075778da5eee9f02a844453dccfe71ef.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DENV4,Distribution of DENV4 Serotypes in Bangladesh,https://dghs.portal.gov.bd/sites/default/files/files/dghs.portal.gov.bd/page/3967b2ff_3a40_405b_a5d7_c0cebec9d39b/2025-04-10-04-50-075778da5eee9f02a844453dccfe71ef.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate & Environmental Factors,X11,MERRA-2 Temperature at 2 Meters (C) ,NASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X12,MERRA-2 Temperature at 2 Meters Minimum (C) ,NASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X13,MERRA-2 Temperature at 2 Meters Maximum (C) ,NASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X14,MERRA-2 Relative Humidity at 2 Meters (%) ,NASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X15,MERRA-2 Precipitation Corrected (mm/day) ,NASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X16,MERRA-2 Surface Pressure (kPa) ,NASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Socio-Demographic & Economic Indicators,X17,GDP( Billion US$),World  Bank: https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X18,Total Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X19,Poverty head-count ratio(% of population),An Investigation of Social Safety Net Programs as Means of Poverty Alleviation in Bangladesh : https://doi.org/10.5539/ass.v9n2p139,https://doi.org/10.5539/ass.v9n2p139, https://www.tbsnews.net/bangladesh/poverty-drops-13-percentage-point-2018-19-planning-minister?fbclid=IwAR1g0ql20tVS4nH3omhPVDhNVM27lW8MSb1AWJxWtDa4HGns9JtOLD13q0A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X110,Adult literacy rate,"The Daily Star: https://www.thedailystar.net/frontpage/adult-literacy-rate-hits-12-year-high-1425082
",The Business Standard: https://www.tbsnews.net/bangladesh/education/missing-past-deadlines-bangladesh-targets-gain-full-adult-literacy-2025-279541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X111,Population Growth(annual %),World Bank: https://data.worldbank.org/indicator/SP.POP.GROW?locations=BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X112,Average Household Size,dghs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X113,Access to electricity (% of population),World Bank: https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS?locations=BD & https://borgenproject.org/access-to-electricity-in-bangladesh/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare System Capacity & Resources,X114,Hospital bed ,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X115,number of of physicians ,https://data.who.int/indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X116,Domestic general government health expenditure (%),https://data.who.int/indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X117,Density of nursing and midwifery personnel (per 10 000 population),https://data.who.int/indicators/i/B54EB15/5C8435F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X118,UHC Service Coverage Index (SDG 3.8.1),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-index-of-service-coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use and Land Cover Indicators,X119,Land Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X120,arbleLand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X121,AgriLand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
